-21,21,-21,21,,,,,,,,,,,,,,,,,,,,,
[run number],spawn-kill,gain-immunity,lambda,end-infection-rate,end-infection-prob,latent-period,network-type,set-state-by,plot-metric,auto-set,infection-prob,infection-rate,min-deg,d,end-latency-rate,model-time,num-nodes,num/frac,set-state-to,time-step,end-latency-prob,[step],count turtles with [removed?],ticks
109,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
110,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
111,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
112,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,11,60,11
113,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
114,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,7,60,7
115,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
116,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
117,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
118,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
119,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,5,60,5
120,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
121,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,2,60,2
122,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
123,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
124,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
125,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,4,60,4
126,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
127,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
128,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,7,60,7
129,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
130,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
131,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,2,60,2
132,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
133,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
134,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,7,60,7
135,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
136,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,6,60,6
137,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
138,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,8,60,8
139,Spawn,TRUE,5,1,0.5,FALSE,Nearest-neighbor 2,Vector from input,Degree Distribution,TRUE,0.5,0.1,0,1,1,Discrete,100,1,Infectious,1,0.5,3,60,3
